timestamp,Resistance
476,11.9827
476.5,11.9826
477,11.9825
477.5,11.9824
478,11.9824
478.5,11.9823
479,11.9822
479.5,11.9821
480,11.982
480.5,11.9819
481,11.9818
481.5,11.9817
482,11.9816
482.5,11.9815
483,11.9814
483.5,11.9813
484,11.9812
484.5,11.9811
485,11.981
485.5,11.9809
486,11.9809
486.5,11.9808
487,11.9807
487.5,11.9807
488,11.9806
488.5,11.9805
489,11.9805
489.5,11.9804
490,11.9804
490.5,11.9803
491,11.9803
491.5,11.9802
492,11.9801
492.5,11.9801
493,11.98
493.5,11.9799
494,11.9799
494.5,11.9798
495,11.9797
495.5,11.9796
496,11.9796
496.5,11.9795
497,11.9794
497.5,11.9793
498,11.9792
498.5,11.9791
499,11.979
499.5,11.9789
500,11.9788
500.5,11.9787
501,11.9786
501.5,11.9785
502,11.9784
502.5,11.9783
503,11.9782
503.5,11.9781
504,11.978
504.5,11.9779
505,11.9779
505.5,11.9778
506,11.9777
506.5,11.9776
507,11.9776
507.5,11.9775
508,11.9774
508.5,11.9774
509,11.9773
509.5,11.9773
510,11.9772
510.5,11.9771
511,11.9771
511.5,11.977
512,11.9769
512.5,11.9769
513,11.9768
513.5,11.9767
514,11.9767
514.5,11.9766
515,11.9765
515.5,11.9764
516,11.9764
516.5,11.9763
517,11.9762
517.5,11.9761
518,11.976
518.5,11.9759
519,11.9758
519.5,11.9757
520,11.9756
520.5,11.9755
521,11.9754
521.5,11.9753
522,11.9752
522.5,11.9751
523,11.975
523.5,11.9749
524,11.9748
524.5,11.9747
525,11.9747
525.5,11.9746
526,11.9745
526.5,11.9744
527,11.9744
527.5,11.9743
528,11.9743
528.5,11.9742
529,11.9742
529.5,11.9741
530,11.9741
530.5,11.974
531,11.974
531.5,11.9739
532,11.9739
532.5,11.9738
533,11.9737
533.5,11.9737
534,11.9736
534.5,11.9736
535,11.9735
535.5,11.9734
536,11.9733
536.5,11.9733
537,11.9732
537.5,11.9731
538,11.973
538.5,11.9729
539,11.9728
539.5,11.9727
540,11.9726
540.5,11.9725
541,11.9725
541.5,11.9724
542,11.9723
542.5,11.9722
543,11.9721
543.5,11.972
544,11.9719
544.5,11.9719
545,11.9718
545.5,11.9717
546,11.9717
546.5,11.9716
547,11.9715
547.5,11.9715
548,11.9714
548.5,11.9714
549,11.9713
549.5,11.9713
550,11.9712
550.5,11.9712
551,11.9711
551.5,11.9711
552,11.971
552.5,11.971
553,11.9709
553.5,11.9708
554,11.9708
554.5,11.9707
555,11.9706
555.5,11.9706
556,11.9705
556.5,11.9704
557,11.9703
557.5,11.9702
558,11.9701
558.5,11.97
559,11.9699
559.5,11.9698
560,11.9697
560.5,11.9696
561,11.9695
561.5,11.9694
562,11.9693
562.5,11.9692
563,11.9691
563.5,11.969
564,11.9689
564.5,11.9688
565,11.9688
565.5,11.9687
566,11.9686
566.5,11.9685
567,11.9685
567.5,11.9684
568,11.9683
568.5,11.9683
569,11.9682
569.5,11.9681
570,11.9681
570.5,11.968
571,11.9679
571.5,11.9679
572,11.9678
572.5,11.9677
573,11.9677
573.5,11.9676
574,11.9675
574.5,11.9674
575,11.9674
575.5,11.9673
576,11.9672
576.5,11.9671
577,11.967
577.5,11.9669
578,11.9668
578.5,11.9667
579,11.9666
579.5,11.9665
580,11.9664
580.5,11.9663
581,11.9661
581.5,11.966
582,11.9659
582.5,11.9658
583,11.9657
583.5,11.9656
584,11.9655
584.5,11.9655
585,11.9654
585.5,11.9653
586,11.9652
586.5,11.9651
587,11.9651
587.5,11.965
588,11.9649
588.5,11.9649
589,11.9648
589.5,11.9647
590,11.9647
590.5,11.9646
591,11.9645
591.5,11.9645
592,11.9644
592.5,11.9643
593,11.9643
593.5,11.9642
594,11.9641
594.5,11.964
595,11.9639
595.5,11.9639
596,11.9638
596.5,11.9637
597,11.9636
597.5,11.9635
598,11.9634
598.5,11.9633
599,11.9631
599.5,11.963
600,11.9629
600.5,11.9628
601,11.9627
601.5,11.9626
602,11.9625
602.5,11.9624
603,11.9623
603.5,11.9622
604,11.9621
604.5,11.962
605,11.9619
605.5,11.9618
606,11.9617
606.5,11.9617
607,11.9616
607.5,11.9615
608,11.9614
608.5,11.9614
609,11.9613
609.5,11.9613
610,11.9612
610.5,11.9611
611,11.9611
611.5,11.961
612,11.9609
612.5,11.9609
613,11.9608
613.5,11.9608
614,11.9607
614.5,11.9606
615,11.9605
615.5,11.9605
616,11.9604
616.5,11.9603
617,11.9602
617.5,11.9601
618,11.9601
618.5,11.96
619,11.9599
619.5,11.9598
620,11.9597
620.5,11.9596
621,11.9595
621.5,11.9595
622,11.9594
622.5,11.9593
623,11.9592
623.5,11.9591
624,11.9591
624.5,11.959
625,11.959
625.5,11.9589
626,11.9589
626.5,11.9588
627,11.9588
627.5,11.9587
628,11.9587
628.5,11.9587
629,11.9587
629.5,11.9586
630,11.9586
630.5,11.9586
631,11.9586
631.5,11.9585
632,11.9585
632.5,11.9585
633,11.9584
633.5,11.9584
634,11.9584
634.5,11.9583
635,11.9583
635.5,11.9583
636,11.9582
636.5,11.9582
637,11.9581
637.5,11.9581
638,11.958
638.5,11.958
639,11.9579
639.5,11.9578
640,11.9578
640.5,11.9577
641,11.9577
641.5,11.9576
642,11.9575
642.5,11.9575
643,11.9575
643.5,11.9574
644,11.9574
644.5,11.9573
645,11.9573
645.5,11.9573
646,11.9572
646.5,11.9572
647,11.9572
647.5,11.9572
648,11.9572
648.5,11.9572
649,11.9572
649.5,11.9572
650,11.9571
650.5,11.9571
651,11.9571
651.5,11.9571
652,11.9571
652.5,11.9571
653,11.9571
653.5,11.9571
654,11.9571
654.5,11.9571
655,11.9571
655.5,11.957
656,11.957
656.5,11.957
657,11.9569
657.5,11.9569
658,11.9569
658.5,11.9568
659,11.9568
659.5,11.9568
660,11.9567
660.5,11.9567
661,11.9567
661.5,11.9566
662,11.9566
662.5,11.9566
663,11.9566
663.5,11.9565
664,11.9565
664.5,11.9565
665,11.9565
665.5,11.9565
666,11.9565
666.5,11.9565
667,11.9565
667.5,11.9565
668,11.9565
668.5,11.9566
669,11.9566
669.5,11.9566
670,11.9566
670.5,11.9567
671,11.9567
671.5,11.9567
672,11.9567
672.5,11.9567
673,11.9568
673.5,11.9568
674,11.9568
674.5,11.9568
675,11.9568
675.5,11.9568
676,11.9568
676.5,11.9568
677,11.9568
677.5,11.9568
678,11.9568
678.5,11.9568
679,11.9568
679.5,11.9568
680,11.9567
680.5,11.9567
681,11.9567
681.5,11.9567
682,11.9567
682.5,11.9567
683,11.9567
683.5,11.9567
684,11.9567
684.5,11.9567
685,11.9567
685.5,11.9567
686,11.9568
686.5,11.9568
687,11.9568
687.5,11.9568
688,11.9569
688.5,11.9569
689,11.9569
689.5,11.957
690,11.957
690.5,11.9571
691,11.9571
691.5,11.9571
692,11.9572
692.5,11.9572
693,11.9572
693.5,11.9573
694,11.9573
694.5,11.9573
695,11.9573
695.5,11.9573
696,11.9573
696.5,11.9573
697,11.9573
697.5,11.9573
698,11.9573
698.5,11.9573
699,11.9573
699.5,11.9573
700,11.9573
700.5,11.9573
701,11.9573
701.5,11.9573
702,11.9572
702.5,11.9572
703,11.9572
703.5,11.9572
704,11.9572
704.5,11.9572
705,11.9572
705.5,11.9572
706,11.9572
706.5,11.9572
707,11.9572
707.5,11.9573
708,11.9573
708.5,11.9573
709,11.9573
709.5,11.9573
710,11.9573
710.5,11.9574
711,11.9574
711.5,11.9574
712,11.9574
712.5,11.9574
713,11.9574
713.5,11.9574
714,11.9574
714.5,11.9574
715,11.9574
715.5,11.9574
716,11.9574
716.5,11.9574
717,11.9574
717.5,11.9574
718,11.9573
718.5,11.9573
719,11.9573
719.5,11.9572
720,11.9572
720.5,11.9572
721,11.9571
721.5,11.9571
722,11.9571
722.5,11.957
723,11.957
723.5,11.957
724,11.9569
724.5,11.9569
725,11.9569
725.5,11.9568
726,11.9568
726.5,11.9568
727,11.9568
727.5,11.9567
728,11.9567
728.5,11.9567
729,11.9567
729.5,11.9567
730,11.9566
730.5,11.9566
731,11.9566
731.5,11.9566
732,11.9565
732.5,11.9565
733,11.9564
733.5,11.9564
734,11.9563
734.5,11.9563
735,11.9562
735.5,11.9562
736,11.9561
736.5,11.956
737,11.9559
737.5,11.9558
738,11.9557
738.5,11.9556
739,11.9555
739.5,11.9554
740,11.9552
740.5,11.9551
741,11.9549
741.5,11.9548
742,11.9546
742.5,11.9544
743,11.9542
743.5,11.954
744,11.9538
744.5,11.9536
745,11.9534
745.5,11.9531
746,11.9528
746.5,11.9526
747,11.9523
747.5,11.952
748,11.9517
748.5,11.9513
749,11.9509
749.5,11.9506
750,11.9502
750.5,11.9498
751,11.9493
751.5,11.9489
752,11.9484
752.5,11.9479
753,11.9474
753.5,11.9469
754,11.9463
754.5,11.9458
755,11.9452
755.5,11.9446
756,11.944
756.5,11.9434
757,11.9427
757.5,11.942
758,11.9414
758.5,11.9407
759,11.94
759.5,11.9393
760,11.9386
760.5,11.9379
761,11.9372
761.5,11.9365
762,11.9357
762.5,11.935
763,11.9344
763.5,11.9336
764,11.9329
764.5,11.9323
765,11.9316
765.5,11.9309
766,11.9303
766.5,11.9296
767,11.929
767.5,11.9283
768,11.9277
768.5,11.9271
769,11.9265
769.5,11.926
770,11.9254
770.5,11.9248
771,11.9243
771.5,11.9238
772,11.9232
772.5,11.9228
773,11.9223
773.5,11.9217
774,11.9213
774.5,11.9208
775,11.9204
775.5,11.9199
776,11.9196
776.5,11.9192
777,11.9188
777.5,11.9184
778,11.9181
778.5,11.9178
779,11.9175
779.5,11.9172
780,11.917
780.5,11.9168
781,11.9166
781.5,11.9165
782,11.9164
782.5,11.9163
783,11.9163
783.5,11.9163
784,11.9163
784.5,11.9164
785,11.9165
785.5,11.9167
786,11.9169
786.5,11.9172
787,11.9175
787.5,11.9178
788,11.9182
788.5,11.9187
789,11.9191
789.5,11.9197
790,11.9202
790.5,11.9208
791,11.9214
791.5,11.9221
792,11.9228
792.5,11.9234
793,11.9242
793.5,11.925
794,11.9257
794.5,11.9266
795,11.9274
795.5,11.9283
796,11.9291
796.5,11.93
797,11.9309
797.5,11.9318
798,11.9327
798.5,11.9337
799,11.9345
799.5,11.9355
800,11.9365
800.5,11.9373
801,11.9383
801.5,11.9393
802,11.9402
